!Murata Part Number: LQW15CAR11J00
!These Parameters are Measured in Series Mode Connection
!       o--[Z]--o
!Port1              Port2
!       o-------o
!
!Freq. Start=10[MHz] Stop=20[GHz], 401[Steps]
# Hz S RI R 50
!Freq.(Hz) S11(Real) S11(Imag) S21(Real) S21(Imag) S12(Real) S12(Imag) S22(Real) S22(Imag)
1.0E7 0.010579856204807801 0.07028480551874815 0.9894201437951922 -0.07028480551874813 0.9894201437951922 -0.07028480551874813 0.010579856204807801 0.07028480551874815
1.0191839480455115E7 0.010876876319356082 0.0715341573545913 0.9891231236806439 -0.0715341573545913 0.9891231236806439 -0.0715341573545913 0.010876876319356082 0.0715341573545913
1.0387359199536363E7 0.011182233555572471 0.07280441457476985 0.9888177664444274 -0.07280441457476985 0.9888177664444274 -0.07280441457476985 0.011182233555572471 0.07280441457476985
1.0586629758750336E7 0.01149616052432497 0.07409592006792692 0.988503839475675 -0.07409592006792692 0.988503839475675 -0.07409592006792692 0.01149616052432497 0.07409592006792692
1.0789723114019271E7 0.011818898819366002 0.07540902234818343 0.988181101180634 -0.07540902234818345 0.988181101180634 -0.07540902234818345 0.011818898819366002 0.07540902234818343
1.0996712601664074E7 0.012150699447774773 0.07674407547932079 0.9878493005522254 -0.07674407547932079 0.9878493005522254 -0.07674407547932079 0.012150699447774773 0.07674407547932079
1.1207672964885822E7 0.012491823268805805 0.0781014389792877 0.9875081767311941 -0.0781014389792877 0.9875081767311941 -0.0781014389792877 0.012491823268805805 0.0781014389792877
1.1422680380755277E7 0.012842541440315007 0.07948147770445495 0.987157458559685 -0.07948147770445495 0.987157458559685 -0.07948147770445495 0.012842541440315007 0.07948147770445495
1.1641812487720173E7 0.013203135871923177 0.08088456171310422 0.9867968641280769 -0.08088456171310422 0.9867968641280769 -0.08088456171310422 0.013203135871923177 0.08088456171310422
1.1865148413640184E7 0.013573899684073168 0.082311066107696 0.9864261003159268 -0.08231106610769601 0.9864261003159268 -0.08231106610769601 0.013573899684073168 0.082311066107696
1.2092768804359745E7 0.013955137672141113 0.08376137085551912 0.9860448623278588 -0.08376137085551912 0.9860448623278588 -0.08376137085551912 0.013955137672141113 0.08376137085551912
1.2324755852828966E7 0.014347166774772827 0.08523586058737519 0.9856528332252271 -0.08523586058737519 0.9856528332252271 -0.08523586058737519 0.014347166774772827 0.08523586058737519
1.2561193328783253E7 0.01475031654563463 0.08673492437400132 0.9852496834543654 -0.08673492437400132 0.9852496834543654 -0.08673492437400132 0.01475031654563463 0.08673492437400132
1.280216660899226E7 0.015164929627789937 0.08825895547997172 0.98483507037221 -0.08825895547997172 0.98483507037221 -0.08825895547997172 0.015164929627789937 0.08825895547997172
1.3047762708089152E7 0.015591362229941228 0.08980835109485662 0.9844086377700588 -0.08980835109485663 0.9844086377700588 -0.08980835109485663 0.015591362229941228 0.08980835109485662
1.3298070309991302E7 0.01602998460380709 0.0913835120414406 0.983970015396193 -0.0913835120414406 0.983970015396193 -0.0913835120414406 0.01602998460380709 0.0913835120414406
1.3553179799923737E7 0.016481181521937248 0.09298484246082196 0.9835188184780628 -0.09298484246082196 0.9835188184780628 -0.09298484246082196 0.016481181521937248 0.09298484246082196
1.3813183297056952E7 0.01694535275530209 0.09461274947422463 0.9830546472446978 -0.09461274947422463 0.9830546472446978 -0.09461274947422463 0.01694535275530209 0.09461274947422463
1.4078174687770821E7 0.017422913550026075 0.0962676428213545 0.9825770864499739 -0.09626764282135448 0.9825770864499739 -0.09626764282135448 0.017422913550026075 0.0962676428213545
1.4348249659556655E7 0.017914295102665966 0.09794993447512593 0.982085704897334 -0.09794993447512594 0.982085704897334 -0.09794993447512594 0.017914295102665966 0.09794993447512593
1.4623505735569622E7 0.01841994503346218 0.0996600382325679 0.9815800549665378 -0.0996600382325679 0.9815800549665378 -0.0996600382325679 0.01841994503346218 0.0996600382325679
1.490404230984403E7 0.01894032785701514 0.10139836928169557 0.981059672142985 -0.10139836928169557 0.981059672142985 -0.10139836928169557 0.01894032785701514 0.10139836928169557
1.5189960683184188E7 0.019475925449855932 0.10316534374410449 0.9805240745501441 -0.10316534374410452 0.9805240745501441 -0.10316534374410452 0.019475925449855932 0.10316534374410449
1.548136409974376E7 0.020027237514390374 0.10496137819300551 0.9799727624856096 -0.10496137819300548 0.9799727624856096 -0.10496137819300548 0.020027237514390374 0.10496137819300551
1.5778357784306893E7 0.020594782038698745 0.1067868891463787 0.9794052179613012 -0.10678688914637867 0.9794052179613012 -0.10678688914637867 0.020594782038698745 0.1067868891463787
1.608104898028453E7 0.021179095751665725 0.10864229253487759 0.9788209042483343 -0.10864229253487756 0.9788209042483343 -0.10864229253487756 0.021179095751665725 0.10864229253487759
1.638954698843964E7 0.021780734572899363 0.11052800314406537 0.9782192654271007 -0.11052800314406537 0.9782192654271007 -0.11052800314406537 0.021780734572899363 0.11052800314406537
1.6703963206355339E7 0.022400274056871113 0.11244443403051681 0.9775997259431289 -0.11244443403051683 0.9775997259431289 -0.11244443403051683 0.022400274056871113 0.11244443403051681
1.7024411168660197E7 0.023038309830671268 0.1143919959112664 0.9769616901693289 -0.11439199591126638 0.9769616901693289 -0.11439199591126638 0.023038309830671268 0.1143919959112664
1.7351006588025205E7 0.023695458024726324 0.11637109652603622 0.9763045419752739 -0.11637109652603622 0.9763045419752739 -0.11637109652603622 0.023695458024726324 0.11637109652603622
1.768386739694721E7 0.024372355695765763 0.11838213997163087 0.9756276443042344 -0.11838213997163087 0.9756276443042344 -0.11838213997163087 0.024372355695765763 0.11838213997163087
1.8023113790333964E7 0.025069661241256383 0.12042552600784531 0.9749303387587436 -0.12042552600784531 0.9749303387587436 -0.12042552600784531 0.025069661241256383 0.12042552600784531
1.836886826890608E7 0.025788054804442448 0.12250164933419602 0.9742119451955576 -0.12250164933419604 0.9742119451955576 -0.12250164933419604 0.025788054804442448 0.12250164933419602
1.872125568343162E7 0.0265282386690411 0.12461089883675805 0.9734717613309588 -0.12461089883675805 0.9734717613309588 -0.12461089883675805 0.0265282386690411 0.12461089883675805
1.9080403279809315E7 0.027290937642545136 0.1267536568043728 0.9727090623574548 -0.1267536568043728 0.9727090623574548 -0.1267536568043728 0.027290937642545136 0.1267536568043728
1.9446440745016586E7 0.02807689942697884 0.12893029811347967 0.9719231005730213 -0.1289302981134797 0.9719231005730213 -0.1289302981134797 0.02807689942697884 0.12893029811347967
1.9819500253939107E7 0.028886894975842556 0.13114118938082994 0.9711131050241573 -0.13114118938082991 0.9711131050241573 -0.13114118938082991 0.028886894975842556 0.13114118938082994
2.0199716517098684E7 0.029721718835862505 0.13338668808335233 0.9702782811641375 -0.13338668808335233 0.9702782811641375 -0.13338668808335233 0.029721718835862505 0.13338668808335233
2.0587226829296768E7 0.030582189472043768 0.13566714164446952 0.9694178105279563 -0.13566714164446952 0.9694178105279563 -0.13566714164446952 0.030582189472043768 0.13566714164446952
2.0982171119191162E7 0.03146914957439952 0.1379828864862026 0.9685308504256004 -0.13798288648620263 0.9685308504256004 -0.13798288648620263 0.03146914957439952 0.1379828864862026
2.138469199982376E7 0.03238346634460726 0.14033424704645697 0.9676165336553927 -0.14033424704645694 0.9676165336553927 -0.14033424704645694 0.03238346634460726 0.14033424704645697
2.1794934820117645E7 0.03332603176071874 0.14272153476094906 0.9666739682392812 -0.14272153476094906 0.9666739682392812 -0.14272153476094906 0.03332603176071874 0.14272153476094906
2.22130477173621E7 0.03429776281793124 0.14514504700931788 0.9657022371820687 -0.14514504700931788 0.9657022371820687 -0.14514504700931788 0.03429776281793124 0.14514504700931788
2.263918167070445E7 0.03529960174331089 0.14760506602505905 0.9647003982566892 -0.14760506602505905 0.9647003982566892 -0.14760506602505905 0.03529960174331089 0.14760506602505905
2.307349055566814E7 0.0363325161822493 0.15010185776903034 0.9636674838177508 -0.15010185776903034 0.9636674838177508 -0.15010185776903034 0.0363325161822493 0.15010185776903034
2.3516131199716687E7 0.0373974993543311 0.15263567076639792 0.962602500645669 -0.15263567076639792 0.962602500645669 -0.15263567076639792 0.0373974993543311 0.15263567076639792
2.396726343888349E7 0.03849557017619682 0.15520673490702822 0.9615044298238034 -0.15520673490702822 0.9615044298238034 -0.15520673490702822 0.03849557017619682 0.15520673490702822
2.4427050175488118E7 0.03962777334890139 0.1578152602094743 0.9603722266510984 -0.15781526020947428 0.9603722266510984 -0.15781526020947428 0.03962777334890139 0.1578152602094743
2.4895657436959792E7 0.040795179407196173 0.16046143554886094 0.9592048205928038 -0.16046143554886094 0.9592048205928038 -0.16046143554886094 0.040795179407196173 0.16046143554886094
2.5373254435789287E7 0.04199888472810239 0.16314542734913426 0.9580011152718975 -0.16314542734913426 0.9580011152718975 -0.16314542734913426 0.04199888472810239 0.16314542734913426
2.586001363063102E7 0.04324001149609859 0.16586737824031542 0.9567599885039015 -0.16586737824031542 0.9567599885039015 -0.16586737824031542 0.04324001149609859 0.16586737824031542
2.635611078857727E7 0.04451970762221088 0.16862740568156903 0.9554802923777889 -0.168627405681569 0.9554802923777889 -0.168627405681569 0.04451970762221088 0.16862740568156903
2.6861725048627086E7 0.045839146614279264 0.17142560055108014 0.9541608533857208 -0.17142560055108014 0.9541608533857208 -0.17142560055108014 0.045839146614279264 0.17142560055108014
2.737703898637277E7 0.047199527395669336 0.17426202570391244 0.9528004726043308 -0.17426202570391247 0.9528004726043308 -0.17426202570391247 0.047199527395669336 0.17426202570391244
2.7902238679927293E7 0.048602074069712745 0.17713671449920296 0.9513979259302874 -0.17713671449920296 0.9513979259302874 -0.17713671449920296 0.048602074069712745 0.17713671449920296
2.843751377711649E7 0.05004803562718769 0.1800496692982288 0.9499519643728124 -0.1800496692982288 0.9499519643728124 -0.1800496692982288 0.05004803562718769 0.1800496692982288
2.898305756396021E7 0.051538685594192064 0.18300085993505535 0.9484613144058079 -0.18300085993505535 0.9484613144058079 -0.18300085993505535 0.051538685594192064 0.18300085993505535
2.95390670344673E7 0.053075321617821136 0.18599022216165073 0.946924678382179 -0.18599022216165073 0.946924678382179 -0.18599022216165073 0.053075321617821136 0.18599022216165073
3.0105742961769406E7 0.05465926498712851 0.18901765606950924 0.9453407350128715 -0.18901765606950927 0.9453407350128715 -0.18901765606950927 0.05465926498712851 0.18901765606950924
3.068328997061952E7 0.05629186008693371 0.1920830244899872 0.9437081399130661 -0.19208302448998715 0.9437081399130661 -0.19208302448998715 0.05629186008693371 0.1920830244899872
3.1271916611281253E7 0.057974473782130505 0.19518615137569495 0.9420255262178695 -0.19518615137569495 0.9420255262178695 -0.19518615137569495 0.057974473782130505 0.19518615137569495
