! BLM15PX121SN1
# Hz S RI R 50
!Freq.(Hz) S11(Real) S11(Imag) S21(Real) S21(Imag) S12(Real) S12(Imag) S22(Real) S22(Imag)
1000000.0 0.0019724553765068406 0.029198194618982216 0.9980275446234931 -0.02919819461898221 0.9980275446234931 -0.02919819461898221 0.0019724553765068406 0.029198194618982216
1020217.5806586457 0.002034876677094212 0.02978513996470176 0.9979651233229057 -0.02978513996470176 0.9979651233229057 -0.02978513996470176 0.002034876677094212 0.02978513996470176
1040843.9118849806 0.0020998326982691854 0.03038374402906145 0.9979001673017306 -0.03038374402906145 0.9979001673017306 -0.03038374402906145 0.0020998326982691854 0.03038374402906145
1061887.2576265757 0.002167425737838928 0.030994229736588535 0.9978325742621611 -0.030994229736588535 0.9978325742621611 -0.030994229736588535 0.002167425737838928 0.030994229736588535
1083356.0489080292 0.0022377621698750285 0.0316168237358349 0.9977622378301249 -0.0316168237358349 0.9977622378301249 -0.0316168237358349 0.0022377621698750285 0.0316168237358349
1105258.8872088592 0.0023109526027749 0.0322517564270884 0.9976890473972252 -0.032251756427088406 0.9976890473972252 -0.032251756427088406 0.0023109526027749 0.0322517564270884
1127604.5479096894 0.0023871120430855202 0.03289926198779148 0.9976128879569143 -0.03289926198779148 0.9976128879569143 -0.03289926198779148 0.0023871120430855202 0.03289926198779148
1150401.9838081095 0.002466360065268231 0.0335595783954539 0.9975336399347319 -0.033559578395453905 0.9975336399347319 -0.033559578395453905 0.002466360065268231 0.0335595783954539
1173660.328705616 0.0025488209875860262 0.03423294744783271 0.997451179012414 -0.03423294744783271 0.997451179012414 -0.03423294744783271 0.0025488209875860262 0.03423294744783271
1197388.9010670746 0.002634624054297302 0.034919614780138074 0.9973653759457025 -0.034919614780138074 0.9973653759457025 -0.034919614780138074 0.002634624054297302 0.034919614780138074
1221597.2077541656 0.0027239036243420878 0.035619829879008164 0.9972760963756578 -0.035619829879008164 0.9972760963756578 -0.035619829879008164 0.0027239036243420878 0.035619829879008164
1246294.947834312 0.0028167993667088096 0.03633384609298088 0.9971832006332911 -0.03633384609298088 0.9971832006332911 -0.03633384609298088 0.0028167993667088096 0.03633384609298088
1271492.016466615 0.00291345646267099 0.03706192063917281 0.9970865435373291 -0.03706192063917281 0.9970865435373291 -0.03706192063917281 0.00291345646267099 0.03706192063917281
1297198.5088663532 0.0030140258150843915 0.03780431460585822 0.9969859741849157 -0.03780431460585822 0.9969859741849157 -0.03780431460585822 0.0030140258150843915 0.03780431460585822
1323424.7243496338 0.003118664264935725 0.03856129295062248 0.9968813357350641 -0.038561292950622474 0.9968813357350641 -0.038561292950622474 0.003118664264935725 0.03856129295062248
1350181.1704598186 0.003227534815334019 0.03933312449374425 0.996772465184666 -0.03933312449374425 0.996772465184666 -0.03933312449374425 0.003227534815334019 0.03933312449374425
