! BLM18SG221TN1
# Hz S RI R 50
!Freq.(Hz) S11(Real) S11(Imag) S21(Real) S21(Imag) S12(Real) S12(Imag) S22(Real) S22(Imag)
1000000.0 0.003768843010829045 0.05771320826265193 0.996231156989171 -0.05771320826265193 0.996231156989171 -0.05771320826265193 0.003768843010829045 0.05771320826265193
1020217.5806586457 0.003911999654506937 0.05888116322835256 0.996088000345493 -0.05888116322835256 0.996088000345493 -0.05888116322835256 0.003911999654506937 0.05888116322835256
1040843.9118849806 0.004061187760436394 0.06007276100823138 0.9959388122395636 -0.06007276100823137 0.9959388122395636 -0.06007276100823137 0.004061187760436394 0.06007276100823138
1061887.2576265757 0.004216668247995501 0.06128847727057856 0.9957833317520045 -0.06128847727057856 0.9957833317520045 -0.06128847727057856 0.004216668247995501 0.06128847727057856
1083356.0489080292 0.0043787138082242785 0.0625287967336953 0.9956212861917756 -0.06252879673369528 0.9956212861917756 -0.06252879673369528 0.0043787138082242785 0.0625287967336953
1105258.8872088592 0.004547609465149976 0.06379421327163629 0.99545239053485 -0.06379421327163629 0.99545239053485 -0.06379421327163629 0.004547609465149976 0.06379421327163629
1127604.5479096894 0.004723653165230639 0.06508523001321721 0.9952763468347693 -0.06508523001321721 0.9952763468347693 -0.06508523001321721 0.004723653165230639 0.06508523001321721
1150401.9838081095 0.004907156396314654 0.06640235943322113 0.9950928436036854 -0.06640235943322115 0.9950928436036854 -0.06640235943322115 0.004907156396314654 0.06640235943322113
1173660.328705616 0.005098444837569852 0.06774612343462522 0.9949015551624301 -0.06774612343462523 0.9949015551624301 -0.06774612343462523 0.005098444837569852 0.06774612343462522
1197388.9010670746 0.005297859041892065 0.06911705342054837 0.9947021409581079 -0.06911705342054837 0.9947021409581079 -0.06911705342054837 0.005297859041892065 0.06911705342054837
1221597.2077541656 0.005505755152357969 0.07051569035448553 0.9944942448476419 -0.07051569035448552 0.9944942448476419 -0.07051569035448552 0.005505755152357969 0.07051569035448553
1246294.947834312 0.0057225056543410225 0.07194258480724944 0.9942774943456589 -0.07194258480724945 0.9942774943456589 -0.07194258480724945 0.0057225056543410225 0.07194258480724944
1271492.016466615 0.005948500164961465 0.07339829698888388 0.9940514998350386 -0.07339829698888388 0.9940514998350386 -0.07339829698888388 0.005948500164961465 0.07339829698888388
1297198.5088663532 0.0061841462615902665 0.07488339676363778 0.9938158537384097 -0.0748833967636378 0.9938158537384097 -0.0748833967636378 0.0061841462615902665 0.07488339676363778
1323424.7243496338 0.006429870351172752 0.07639846364590576 0.9935701296488273 -0.07639846364590575 0.9935701296488273 -0.07639846364590575 0.006429870351172752 0.07639846364590576
1350181.1704598186 0.006686118582178477 0.07794408677483525 0.9933138814178215 -0.07794408677483523 0.9933138814178215 -0.07794408677483523 0.006686118582178477 0.07794408677483525
1377478.5671773748 0.006953357801019056 0.07952086486508304 0.9930466421989811 -0.07952086486508306 0.9930466421989811 -0.07952086486508306 0.006953357801019056 0.07952086486508304
1405327.8512148394 0.007232076554803555 0.08112940613096464 0.9927679234451967 -0.08112940613096464 0.9927679234451967 -0.08112940613096464 0.007232076554803555 0.08112940613096464
1433740.1803986167 0.007522786142320556 0.08277032818098468 0.9924772138576792 -0.08277032818098466 0.9924772138576792 -0.08277032818098466 0.007522786142320556 0.08277032818098468
1462726.9381393674 0.007826021715144318 0.08444425787945811 0.9921739782848557 -0.08444425787945811 0.9921739782848557 -0.08444425787945811 0.007826021715144318 0.08444425787945811
1492299.737992774 0.008142343430759522 0.08615183117163439 0.9918576565692404 -0.0861518311716344 0.9918576565692404 -0.0861518311716344 0.008142343430759522 0.08615183117163439
1522470.428312519 0.008472337659580597 0.08789369286841636 0.9915276623404196 -0.08789369286841636 0.9915276623404196 -0.08789369286841636 0.008472337659580597 0.08789369286841636
1553251.0969973304 0.008816618247706375 0.08967049638641876 0.9911833817522935 -0.08967049638641876 0.9911833817522935 -0.08967049638641876 0.008816618247706375 0.08967049638641876
1584654.076334004 0.009175827837196265 0.09148290343874535 0.9908241721628036 -0.09148290343874534 0.9908241721628036 -0.09148290343874534 0.009175827837196265 0.09148290343874535
1616691.9479383389 0.009550639245575945 0.09333158367146639 0.990449360754424 -0.09333158367146639 0.990449360754424 -0.09333158367146639 0.009550639245575945 0.09333158367146639
1649377.5477959653 0.009941756906176276 0.09521721424035677 0.9900582430938236 -0.09521721424035677 0.9900582430938236 -0.09521721424035677 0.009941756906176276 0.09521721424035677
1682723.9714050898 0.010349918370775701 0.09714047932201055 0.9896500816292243 -0.09714047932201055 0.9896500816292243 -0.09714047932201055 0.010349918370775701 0.09714047932201055
1716744.5790232092 0.010775895875846632 0.09910206955296597 0.9892241041241534 -0.09910206955296598 0.9892241041241534 -0.09910206955296598 0.010775895875846632 0.09910206955296597
1751453.001019904 0.011220497973500198 0.10110268138997733 0.9887795020265 -0.10110268138997733 0.9887795020265 -0.10110268138997733 0.011220497973500198 0.10110268138997733
1786863.143337851 0.011684571227971285 0.10314301638403348 0.9883154287720285 -0.10314301638403348 0.9883154287720285 -0.10314301638403348 0.011684571227971285 0.10314301638403348
1822989.1930642454 0.01216900197818583 0.10522378036016798 0.9878309980218141 -0.10522378036016798 0.9878309980218141 -0.10522378036016798 0.01216900197818583 0.10522378036016798
1859845.6241148617 0.012674718166595423 0.10734568249451729 0.9873252818334047 -0.10734568249451729 0.9873252818334047 -0.10734568249451729 0.012674718166595423 0.10734568249451729
1897447.2030330333 0.013202691234046209 0.10950943427947424 0.9867973087659538 -0.10950943427947424 0.9867973087659538 -0.10950943427947424 0.013202691234046209 0.10950943427947424
1935808.994905876 0.013753938079962037 0.11171574836715073 0.986246061920038 -0.11171574836715073 0.986246061920038 -0.11171574836715073 0.013753938079962037 0.11171574836715073
1974946.3694001175 0.01432952308655724 0.11396533728070585 0.985670476913443 -0.11396533728070585 0.985670476913443 -0.11396533728070585 0.01432952308655724 0.11396533728070585
2014875.0069199642 0.014930560205146695 0.11625891198242748 0.9850694397948533 -0.11625891198242748 0.9850694397948533 -0.11625891198242748 0.014930560205146695 0.11625891198242748
2055610.904889458 0.01555821510187862 0.11859718028676818 0.9844417848981213 -0.11859718028676818 0.9844417848981213 -0.11859718028676818 0.01555821510187862 0.11859718028676818
2097170.3841618528 0.016213707359371922 0.12098084510584492 0.9837862926406281 -0.12098084510584492 0.9837862926406281 -0.12098084510584492 0.016213707359371922 0.12098084510584492
2139570.0955585684 0.016898312729784447 0.12341060251422005 0.9831016872702156 -0.12341060251422005 0.9831016872702156 -0.12341060251422005 0.016898312729784447 0.12341060251422005
2182827.0265403506 0.017613365433761633 0.12588713961909584 0.9823866345662384 -0.12588713961909584 0.9823866345662384 -0.12588713961909584 0.017613365433761633 0.12588713961909584
2226958.508013302 0.01836026049850696 0.12841113222138759 0.9816397395014931 -0.12841113222138759 0.9816397395014931 -0.12841113222138759 0.01836026049850696 0.12841113222138759
